,name,link,employer,sal_min,sal_max,sal_cur
74,Руководитель направления по исследованию данных(Data Scientist),https://hh.ru/vacancy/34777225?query=data%20scientist, Сбербанк для экспертов,,,
75,Senior Data Scientist (Дивизион ЦКР),https://hh.ru/vacancy/36940290?query=data%20scientist, Сбербанк для экспертов,,,
76,Data Scientist в Корпоративно-Инвестиционный Блок Банка,https://hh.ru/vacancy/36550195?query=data%20scientist, Сбербанк для экспертов,,,
77,Data scientist (Центр по исследованию данных),https://hh.ru/vacancy/37935957?query=data%20scientist, Сбербанк для экспертов,,,
78,Lead Data Scientist (RecSys) at Sberbank Corporate,https://hh.ru/vacancy/36550187?query=data%20scientist, Сбербанк для экспертов,,,
79,Системный архитектор,https://hh.ru/vacancy/37445845?query=data%20scientist, 2050.Digital,,,
80,Генетик – аналитик данных (data scientist),https://hh.ru/vacancy/37073561?query=data%20scientist, ФГБУ ЦСП ФМБА России,,,
81,Data Scientist (recommender systems),https://hh.ru/vacancy/37383027?query=data%20scientist,АО Центр программ лояльности,,,
82,Product Data Analyst,https://hh.ru/vacancy/37479004?query=data%20scientist, Miro,,,
83,Middle Data Scientist,https://hh.ru/vacancy/37415376?query=data%20scientist, Сбербанк для экспертов,,,
84,Data scientist / Аналитик данных,https://hh.ru/vacancy/36915671?query=data%20scientist, DPD в России,,,
85,Data Scientist (middle),https://hh.ru/vacancy/37457936?query=data%20scientist, Группа компаний SRG,,,
86,Data Scientist,https://hh.ru/vacancy/36783102?query=data%20scientist, WILDBERRIES,,,
87,Senior data scientist,https://hh.ru/vacancy/37492807?query=data%20scientist, Eqvanta,,,
88,Data engineer,https://hh.ru/vacancy/37742221?query=data%20scientist,АО Газпромбанк,,,
89,Data scientist в Дивизион `Массовая персонализация`,https://hh.ru/vacancy/37917263?query=data%20scientist, Сбербанк для экспертов,,,
90,Data Scientist,https://hh.ru/vacancy/37900172?query=data%20scientist, Сбербанк для экспертов,,,
91,"Главный специалист направления операционной отчетности (Аналитик SQL, Data Scientist)",https://hh.ru/vacancy/37903328?query=data%20scientist," «Почта России», Офис",,,
92,Customer Success Manager,https://hh.ru/vacancy/37912975?query=data%20scientist, SegmentStream,,,
93,Data Scientist,https://hh.ru/vacancy/37886962?query=data%20scientist, Approve,80000,,руб.
94,Data Scientist (to Canada),https://hh.ru/vacancy/37891234?query=data%20scientist, Star-staff,,,
95,Data Scientist (EY Technology),https://hh.ru/vacancy/37624725?query=data%20scientist, EY (Эрнст энд Янг),,,
96,Риск-аналитик отдела андеррайтинга,https://hh.ru/vacancy/37887775?query=data%20scientist," АБСОЛЮТ, Группа",,,
97,Marketing Manager (B2B/SaaS),https://hh.ru/vacancy/37911878?query=data%20scientist, SegmentStream,,,
98,Data Scientist / Senior Data Scientist (Python),https://hh.ru/vacancy/37887280?query=data%20scientist, McKinsey & Company,,,
99,Team Lead Data Scientist (Surge Pricing),https://hh.ru/vacancy/37457846?query=data%20scientist, Ситимобил,,,
100,Data scientist в Дивизион `Массовая персонализация`,https://hh.ru/vacancy/37917263?query=data%20scientist, Сбербанк для экспертов,,,
