,name,link,employer,salary_min,salary_max,salary_currency
96,Аналитик бизнес-процессов,https://hh.ru/vacancy/38168849?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Борисик Александр Павлович,100000.0,,руб.
97,Риск-аналитик,https://hh.ru/vacancy/37785459?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," СОЮЗ, Акционерный Коммерческий Банк",140000.0,,руб.
98,Финансовый аналитик,https://hh.ru/vacancy/37544815?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ВсеИнструменты.ру,120000.0,,руб.
99,Бизнес-аналитик\Системный аналитик,https://hh.ru/vacancy/37305713?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," АйТи Гео, ООО (IT GEO)",120000.0,150000.0,руб.
100,Аналитик в департамент продаж,https://hh.ru/vacancy/38185609?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Zoon.ru,80000.0,120000.0,руб.
101,Ведущий аналитик,https://hh.ru/vacancy/38112860?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, СофтТелематика,150000.0,200000.0,руб.
102,Аналитик,https://hh.ru/vacancy/38165531?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Кредитные Системы,60000.0,90000.0,руб.
103,Аналитик-тестировщик,https://hh.ru/vacancy/37821562?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," ЦУМ, IT",,,
104,Аналитик данных (data analyst),https://hh.ru/vacancy/38176724?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Персонал-Exclusive, Первое рекрутинговое агентство",150000.0,200000.0,руб.
105,Финансовый аналитик,https://hh.ru/vacancy/38081666?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Ф1брокер,80000.0,,руб.
106,Ведущий аналитик/Главный аналитик,https://hh.ru/vacancy/38139205?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Центр инноваций и информационных технологий,,240000.0,руб.
107,Продуктовый аналитик,https://hh.ru/vacancy/38199040?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО 24Н Софт,140000.0,230000.0,руб.
108,Бизнес-аналитик на проект,https://hh.ru/vacancy/38139702?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Startup Rock Stars,,150000.0,руб.
109,Главный инвестиционный аналитик,https://hh.ru/vacancy/38199368?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Мосинжпроект,112000.0,140000.0,руб.
110,Старший аналитик,https://hh.ru/vacancy/37679543?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ГОЛДЕНГУС ИНТЕРНЕШНЛ,150000.0,250000.0,руб.
111,Экономист-аналитик,https://hh.ru/vacancy/38080031?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Нэтфикс,70000.0,,руб.
112,Аналитик соцмедиа,https://hh.ru/vacancy/37988117?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Web Interactive World,120000.0,,руб.
113,Аналитик бизнес-процессов,https://hh.ru/vacancy/38128962?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Мособлгаз,150000.0,150000.0,руб.
114,Аналитик бизнес-процессов,https://hh.ru/vacancy/37870196?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, «Серволюкс Восток»,130000.0,,руб.
115,Экономист-аналитик,https://hh.ru/vacancy/38187990?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ФГУП ДСО ФМБА России,60000.0,80000.0,руб.
116,Бизнес-аналитик,https://hh.ru/vacancy/38094083?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Бабаев Олег Иосифович,150000.0,,руб.
117,Продуктовый аналитик,https://hh.ru/vacancy/38053356?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Константа,160000.0,190000.0,руб.
118,Аналитик,https://hh.ru/vacancy/37401421?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Haier,,,
119,Экономист-аналитик,https://hh.ru/vacancy/38091266?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Yumbaker,,70000.0,руб.
120,Аналитик,https://hh.ru/vacancy/36880234?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Lenvendo,130000.0,160000.0,руб.
121,Digital Аналитик (Data Science),https://hh.ru/vacancy/38211522?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, БУРГЕР КИНГ РОССИЯ,,,
122,Web аналитик / Power BI аналитик,https://hh.ru/vacancy/36050568?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, TWIGA Communication Group,100000.0,150000.0,руб.
123,Младший аналитик/ Аналитик (Ритейл),https://hh.ru/vacancy/38013463?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Valuement Russia,,,
124,Бизнес-аналитик,https://hh.ru/vacancy/38174590?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Seldon,120000.0,,руб.
125,Экономист-аналитик,https://hh.ru/vacancy/37842873?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Ревада,45000.0,45000.0,руб.
126,Финансовый аналитик,https://hh.ru/vacancy/38054829?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BestDoctor,,140000.0,руб.
127,Аналитик,https://hh.ru/vacancy/37871596?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Smart Development Ltd,1500.0,2500.0,USD
128,"Аналитик данных, Data Scientist",https://hh.ru/vacancy/38175081?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Комус,,,
129,Аналитик,https://hh.ru/vacancy/38070515?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Доверенная среда,120000.0,150000.0,руб.
130,Аналитик интернет-продаж/Аналитик отдела e-commerce (Удалённо),https://hh.ru/vacancy/38123086?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Фэйсборд,,,
131,Аналитик,https://hh.ru/vacancy/38191457?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," ЦУМ, Офис",,,
132,Аналитик,https://hh.ru/vacancy/38148563?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Nestle,,,
133,Аналитик данных,https://hh.ru/vacancy/37985688?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BestDoctor,70000.0,100000.0,руб.
134,Технический аналитик / Аналитик BI,https://hh.ru/vacancy/37388360?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ivi,120000.0,,руб.
